/*
 *
 *  Dados fornecidos pela Iplam (Instituto de pesquisa e planejamento urbano)
 *  da cidade de Ponta Grossa Paraná Brasil.
 *
 */
wkt_geom,id,LOGRADOURO,LOTEAMENTO,BAIRRO,KM,TIPO_EQUI,COOR X,COOR Y
Point (-50.18031461741135502 -25.09207506347843974),0,Rua Londrina,Santo Antonio,Nova Russia,40,Controlador de Velocidade,-501803146174,-250920750635
Point (-50.17358315002832825 -25.07253261406490452),,Bento Ribeiro,Palmeirinha,Nova Russia,40,Controlador de Velocidade,-5017358315,-250725326141
Point (-50.14935783608589759 -25.05338635532523028),,Antonio Saad,Santa Monica,Boa Vista,40,Controlador de Velocidade,-501493578361,-250533863553
Point (-50.14346099523596223 -25.05332902137241291),,Antonio Saad,Santa Monica,Jardim Carvalho,40,Lombada Eletronica,-501434609952,-250533290214
Point (-50.14964690939763869 -25.08181168699277208),,Rua Dom Pedro VI,Vilela,Jardim Carvalho,40,Controlador de Velocidade,-501496469094,-25081811687
Point (-50.13328936145470038 -25.08055492760341565),,Rua Almirante Barroso,Concecao,Neves,40,Controlador de Velocidade,-501332893615,-250805549276
Point (-50.11073685026331503 -25.09926326993820567),,Avenida Euzebio de QueirÃ³s,,Uvaranas,40,Controlador de Velocidade,-501107368503,-250992632699
Point (-50.1311744931448473 -25.09310825367415632),,Avenida Carlos Cavalcanti,,Uvaranas,40,Lombada Eletronica,-501311744931,-250931082537
Point (-50.1369201105674378 -25.09205502005220723),,Avenida Carlos Cavalcanti,Marina,Uvaranas,40,Lombada Eletronica,-501369201106,-250920550201
Point (-50.16537263329221474 -25.08505412856326444),,Rua Balduino Taques,,Orfas,50,Controlador de Velocidade,-501653726333,-250850541286
Point (-50.16306214426551691 -25.09520222825313596),,Rua Balduino Taques,Centro,Centro,50,Controlador de Velocidade,-501630621443,-250952022283
Point (-50.17716272283364987 -25.0979938723359659),,Avenida Visconde de Taunay,Ronda,Ronda,60,Controlador de Velocidade,-501771627228,-250979938723
Point (-50.18684313598751601 -25.10187526658617685),,AVenida Visconde de Taunay,Maracana,Ronda,60,Controlador de Velocidade,-50186843136,-251018752666
Point (-50.18484353027147193 -25.10113083962933089),,Avenida Visconde de Taunay,Ronda,Ronda,60,Controlador de Velocidade,-501848435303,-251011308396
Point (-50.14881471901173882 -25.14291895820604239),,Avenida Visconde de MauÃ¡,Maua,Cara-Cara,60,Controlador de Velocidade,-50148814719,-251429189582
Point (-50.15339825076173952 -25.13557060584376757),,Avenida Visconde de MauÃ¡,Curitiba,Oficinas,60,Controlador de Velocidade,-501533982508,-251355706058
Point (-50.15772370574122618 -25.11195060932856649),,Visconde de MauÃ¡,Eleuterio,Oficinas,60,Controlador de Velocidade,-501577237057,-251119506093
Point (-50.15969182486277589 -25.10976813529329732),,Rua BalduÃ­no Taques,,Oficinas,50,Controlador de Velocidade,-501596918249,-251097681353
Point (-50.15387794052138304 -25.09525620261327106),,Rua Conselheiro Barradas,Euvina,Uvaranas,60,Controlador de Velocidade,-501538779405,-250952562026
Point (-50.14370728435784486 -25.09097215368975853),,Avenida Carlos Cavalcanti,Ana Rita,Uvaranas,60,Controlador de Velocidade,-501437072844,-250909721537
Point (-50.14283296823595037 -25.09030398895076885),,Avenida Dom Geraldo de Pellanda,Ana Rita,Uvaranas,60,Controlador de Velocidade,-501428329682,-25090303989
Point (-50.17073772830514145 -25.08753548260669319),,Avenida Ernesto Vilela,Del Claro,Nova Russia,40,Controlador de Velocidade,-501707377283,-250875354826
Point (-50.17357697381838477 -25.08614805557780159),,Avenida Ernesto Vilela,Nova Russia,Nova Russia,60,Controlador de Velocidade,-501735769738,-250861480556
Point (-50.15616896454992713 -25.0918104940868929),,Rua Comendador MirÃ³,Centro,Centro,40,Controlador de Velocidade,-501561689645,-250918104941
Point (-50.15918291031972842 -25.09227554554452766),,Comendador MirÃ³,Centro,Centro,40,Controlador de Velocidade,-501591829103,-250922755455
Point (-50.15853722321959651 -25.09217643592342384),,Comendador MirÃ³,Centro,Centro,40,Controlador de Velocidade,-501585372232,-250921764359
Point (-50.16322062754218791 -25.09545153352772573),,Avenida Vicente Machado,Centro,Centro,40,Controlador de Velocidade,-501632206275,-250954515335
Point (-50.1629181353796767 -25.09018004906123878),,Rua Francisco Ribas,Centro,Centro,40,Controlador de Velocidade,-501629181354,-250901800491
Point (-50.14049008227949145 -25.06643497931314712),,Avenida Monteiro Lobato,Carvalho II,Jardim Carvalho,60,Controlador de Velocidade,-501404900823,-250664349793
Point (-50.13438308050456982 -25.05433611750640921),,Avenida Monteiro Lobato,,Jardim Carvalho,,Rotatoria,-501343830805,-250543361175
Point (-50.15741435244859758 -25.10791322270085857),,Rua Visconde do Rio Branco,Eleuterio,Olarias,,Rotatoria,-501574143524,-251079132227
Point (-50.15398829824316351 -25.11402920733091193),,Rua Carlos Zaet,Oficinas Correia,Oficinas,,Rotatoria,-501539882982,-251140292073
Point (-50.15275642884721208 -25.13664005161435),,Avenida Visconde de MauÃ¡,,Cara-Cara,,Rotatoria,-501527564288,-251366400516
Point (-50.1730609392789404 -25.14160756240640993),,Rua Luiz Carlos Prestes,Jardim Cerejeiras,Colonia Dona Luiza,,Rotatoria,-501730609393,-251416075624
Point (-50.08914740114558839 -25.09370656436978564),,Rua Dep Edmar Luiz Costa,Parai­so,Uvaranas,,Rotatoria,-500891474011,-250937065644
Point (-50.11494969002785638 -25.09178298453294076),,Avenida General Carlos Cavalcanti,,Uvaranas,,Rotatoria,-5011494969,-250917829845
Point (-50.13487671581066252 -25.08377233997073219),,Rua Rio Negro,Marina,Uvaranas,,Rotatoria,-501348767158,-2508377234
Point (-50.14067939726238166 -25.09120080327737057),,Avenida General Carlos Cavalcanti,Ana Rita,Uvaranas,,Rotatoria,-501406793973,-250912008033
Point (-50.18555288113482504 -25.10151460018066771),,Avenida Visconde de Taunay,Maracana,Ronda,,Rotatoria,-501855528811,-251015146002
Point (-50.20245532680108624 -25.10407138870464294),,Avenida Visconde de Taunay,Ricci,Contorno,,Rotatoria,-502024553268,-251040713887
Point (-50.20643705639884047 -25.11401946967338361),,Rua Sergio Ditzel kruger,Canaa,Contorno,,Rotatoria,-502064370564,-251140194697
Point (-50.14587099043981766 -25.14653404838429296),,Avenida Visconde de Mauá,Mauá,Cara-Cara,60,Controlador de Velocidade,-501458709904,-251465340484
Point (-50.18948972611980963 -25.08181841571463977),,Rua Dom Pedro II,,Nova Russia,,Viaduto,-501894897261,-250818184157
Point (-50.18783094240404097 -25.07917322643795188),,Rua Jesuino Manoel de Almeida,Boa Vista,Boa Vista,,Trincheira,-501878309424,-250791732264
Point (-50.19651382824134345 -25.10306471772835835),,Avenida Visconde de Taunay,Auto-Estrada,Contorno,,Viaduto,-501965138282,-251030647177
Point (-50.18916586509033806 -25.11110433505000827),,Rua Almirante Tamandaré,,Contorno,,Viaduto,-501891658651,-251111043351
Point (-50.17950326993560139 -25.12572102320406842),,Avenida Presidente Kennedy,Contin,Colonia Dona Luiza,,Trincheira,-501795032699,-251257210232
Point (-50.1942597782645592 -25.08729349297322386),,Avenida Pesitente kennedy,,Contorno,,Trincheira,-501942597783,-25087293493
Point (-50.16630867941531591 -25.13397082079847067),,Avenida Presidente Kennedy,Dona Luiza,Colonia Dona Luiza,,Viaduto,-501663086794,-251339708208
Point (-50.14515100919685153 -25.14977100548256317),,Avenida Presidente Kennedy,Vendrami,Cara-Cara,,Viaduto,-501451510092,-251497710055
Point (-50.14301669383718973 -25.1508011875147659),,Avenida Presidente Kennedy,,Cara-Cara,,Viaduto,-501430166938,-251508011875
Point (-50.1065716267003296 -25.0894349342850127),,Avenida General Carlos Cavalcanti,,Uvaranas,,Rotatoria,-501065716267,-250894349343
Point (-50.16440325415115353 -25.08967510623360653),,Rua Santa Cruz,Centro,Centro,40,Controlador de Velocidade,-501644032542,-250896751062
Point (-50.1584769945417861 -25.1036896529835758),,Rua Benjamin Constant,Centro,Centro,,Rotatoria,-501584769945,-25103689653
Point (-50.13845462012149312 -25.13666723959893545),,Rua Professora Myrtis de Almeida Rosas,Amalia II,Cara-Cara,,Rotatoria,-501384546201,-251366672396
